id	county	deviation	rank
12087	Monroe	6.05	1
12086	Dade	5.48 	2
12085	Martin	5.34 	3
12071	Lee	5.23 	4
12043	Glades	5.15 	5
12099	Palm Beach	5.14 	6
12015	Charlotte	5.10 	7
12103	Pinellas	5.05 	8
12111	St. Lucie	5.03 	9
12021	Collier	5.00 	10
12011	Broward	4.98 	11
12115	Sarasota	4.78 	12
12061	Indian River	4.72 	13
12093	Okeechobee	4.70 	14
12081	Manatee	4.66 	15
12097	Osceola	4.50 	16
12057	Hillsborough	4.32 	17
12051	Hendry	4.22 	18
12055	Highlands	4.14 	19
12105	Polk	3.98 	20
12009	Brevard	3.93 	21
12053	Hernando	3.71 	22
12127	Volusia	3.45 	23
12017	Citrus	3.43 	24
12069	Lake	3.40 	25
12101	Pasco	3.37 	26
12117	Seminole	3.14 	27
12109	St. Johns	2.98 	28
12095	Orange	2.96 	29
12119	Sumter	2.84 	30
12027	De Soto	2.74 	31
12035	Flagler	2.70 	32
12037	Franklin	2.66 	33
12083	Marion	2.59 	34
12075	Levy	2.47 	35
12001	Alachua	2.44 	36
12029	Dixie	2.42 	37
12107	Putnam	2.35 	38
12033	Escambia	2.34 	39
12123	Taylor	2.32 	40
12031	Duval	2.31 	41
12049	Hardee	2.25 	42
12045	Gulf	2.25 	43
12131	Walton	2.18 	44
12005	Bay	2.15 	45
12089	Nassau	2.04 	46
12091	Okaloosa	2.01 	47
12019	Clay	2.01 	48
12065	Jefferson	2.00 	49
12133	Washington	1.95 	50
12129	Wakulla	1.95 	51
12113	Santa Rosa	1.94 	52
12063	Jackson	1.76 	53
12073	Leon	1.75 	54
12039	Gadsden	1.65 	55
12125	Union	1.60 	56
12007	Bradford	1.34 	57
12079	Madison	1.30 	58
12041	Gilchrist	1.21 	59
12013	Calhoun	1.12 	60
12059	Holmes	0.89 	61
12067	Lafayette	0.84 	62
12121	Suwannee	0.70 	63
12003	Baker	0.65 	64
12023	Columbia	0.59 	65
12047	Hamilton	0.58 	66
12077	Liberty	0.36 	67
